region,value
Акмолинская,742832
Актюбинская,873396
Алматинская,2049036
Атырауская,635786
Восточно-Казахстанская,1385641
Жамбылская,1133078
Западно-Казахстанская,655926
Карагандинская,1384908
Костанайская,877465
Кызылординская,799033
Мангистауская,681230
Павлодарская,1232697
Республика Казахстан,18474548
Северо-Казахстанская,586956
Туркестанская,1664627
город Алматы,1856929
город Астана,1075004
город Шымкент,1009086
